Full Name,Email
Joseph Zaniolini,jzaniolini0@simplemachines.org
Freida Drillingcourt,fdrillingcourt1@umich.edu
Nanni Herity,nherity2@statcounter.com
Orazio Frayling,ofrayling3@economist.com
Julianne Murrison,jmurrison4@cbslocal.com
Lucy Gamet,lgamet5@list-manage.com
Dyana Howatt,dhowatt6@amazon.com
Kassey Herion,kherion7@amazon.com
Chrissy Hedworth,chedworth8@china.com.cn
Hyatt Gasquoine,hgasquoine9@google.ru
Felicdad Tarr,ftarra@shareasale.com
Andrew Bath,abathb@umn.edu
Lucais Chastang,lchastangc@goo.gl
Car Cerie,cceried@yale.edu
